total deviance | predicted | actual
0.008747029295814604 | 0.53115094,0.35456273,0.7784979 | 0.5258684885478491,0.34801179517146474,0.7761121846575632
0.020580649246245166 | 0.55968803,0.73362863,0.39250013 | 0.5745564757397681,0.7236787194093235,0.38232704228131564
0.025720008002687252 | 0.3316421,0.35993147,0.87835556 | 0.32155839296400235,0.33717217694260654,0.8848249109344694
0.018748217020378932 | 0.22372386,0.6248172,0.75322145 | 0.24016369057823117,0.616448998326204,0.7498746789900719
0.02341797889007624 | 0.052135095,1.0007262,0.035173744 | 0.04453953417686465,0.9973761279845172,0.05707091397480403
0.014008705833471276 | 0.49447516,0.7155211,0.5005054 | 0.4951185977832411,0.7194545689464369,0.48707565875462683
0.02326232371560342 | 0.77046686,0.29560333,0.57166564 | 0.7673437390699149,0.27401268041521776,0.5797418710787329
0.008520908210007089 | 0.38729975,0.03936004,0.9259374 | 0.379538280434834,0.03616487576047768,0.9244689261656114
0.020748221477956866 | 0.8949507,0.4556609,0.014609605 | 0.8966138208768575,0.4417988123645691,0.029957730318882114
0.010314819163505556 | 0.6562747,0.35515878,0.6734571 | 0.6593465442996822,0.3485321374304482,0.6661737638921473
0.00842827771593653 | 0.6727888,0.25856656,0.7004965 | 0.6675717202715314,0.26367870763088214,0.6962912734163886
0.011073192209022075 | 0.624149,0.62328285,0.48157427 | 0.6278223424118701,0.6188133410980913,0.4721325610964465
0.007671528484738821 | 0.72930187,0.2963797,0.62548095 | 0.7271623071605707,0.28971920597935563,0.622332516209468
0.006776210903751425 | 0.7049699,0.68990767,0.18745843 | 0.7059690090180442,0.6836068797605833,0.18517395132706968
0.01369873453870248 | 0.93235004,0.3554069,0.06411806 | 0.9292211851644526,0.3616437345369152,0.07590651033846343
0.009810545053068461 | 0.4945935,0.7603607,0.4289892 | 0.4857651950402949,0.7592372003986813,0.4331178232516374
0.008990408100708785 | 0.098542124,0.9753688,0.20406422 | 0.10700414944680893,0.9727634673691438,0.2056242897936078
0.014375824840415805 | 0.7564194,0.42148745,0.50711733 | 0.7492456964601608,0.4326000145387858,0.5014859058408032
0.012276949083185176 | 0.35915047,0.9056534,0.24186316 | 0.365279060674012,0.9015078673136164,0.2320663116541616
0.007645865279849889 | 0.72930187,0.2963797,0.62548095 | 0.7288257474567152,0.2946841771363338,0.6180406666147803
0.018834035050679664 | 0.72608536,0.38140768,0.5800916 | 0.7158152966461593,0.370748867361153,0.5917378967395894
0.014760493381188861 | 0.7413507,0.3919984,0.5534952 | 0.7427981365791506,0.37731527291004613,0.5530679100466407
0.025523646851223776 | 0.46376827,0.50385076,0.7364213 | 0.44151635484534524,0.4971148431277808,0.7469539083143758
0.015364070826861939 | 0.72608536,0.38140768,0.5800916 | 0.7267860967449797,0.36609729645881944,0.5811667050887724
0.01186000461683378 | 0.080491066,0.92365545,0.37532678 | 0.0917596738195258,0.9212066942553608,0.37809838497359954
0.019030838444539882 | 0.48068145,0.67075354,0.5737889 | 0.4804197449098032,0.6545431478784456,0.5837552023461333
0.015886543503481565 | 0.020817893,0.91661733,0.40010598 | 0.02489327013626714,0.9099620749393738,0.413943652293343
0.0177678809760025 | 0.19011211,0.32937846,0.9301855 | 0.1795134506487446,0.3152195658810881,0.9318860157347137
0.010576466757763832 | 0.5397587,0.6944168,0.48267362 | 0.5412736699514762,0.6956807903353773,0.4722828095279407
0.01934674839691965 | 0.1996752,0.4872247,0.8548979 | 0.2025175882810514,0.46872992399080776,0.859813284842935
0.02655616126201659 | 0.85439223,0.020427251,0.5237873 | 0.8383953390017194,0.017499996830567348,0.5447816128056474
0.0317075516426721 | 0.12624794,0.8596663,0.5057104 | 0.10677273828867273,0.8441611115968236,0.5253490268630501
0.018576353498569814 | 0.63516665,0.7509916,0.19643733 | 0.6450771663645568,0.7366804213849797,0.20292216779623354
0.017742200065636215 | 0.026097463,0.6218303,0.78591925 | 0.011831248371993338,0.6123339865659929,0.7905106643544783
0.022541440604688948 | 0.4753386,0.72107863,0.51079243 | 0.46160374351136785,0.7135687815688924,0.5270119334005423
0.024921444883437713 | 0.053314835,0.6670664,0.74521214 | 0.04674171633173501,0.6481645123728972,0.7600644557238341
0.022764801936594522 | 0.8060735,0.22734058,0.5511495 | 0.8038432458808533,0.20578193073994533,0.5581127422238937
0.014278177289174927 | 0.50634855,0.2923022,0.8178348 | 0.4923016055627207,0.29135757512034133,0.8202133213867975
0.022509924377371378 | 0.8549605,0.47700018,0.20538685 | 0.8610680101986395,0.4740619916285679,0.1839214775541763
0.0240210030237035 | 0.21789251,0.75071794,0.63173455 | 0.20776405331463665,0.7343882541629404,0.6461485822144789
0.00738480736571297 | 0.5203103,0.64375764,0.5709018 | 0.5158268802224211,0.6379559610309925,0.571782145073652
0.024602218529927618 | 0.5614563,0.1678577,0.81617254 | 0.5757557152119214,0.152555714519047,0.8032634128157412
0.013922208297042639 | 0.6780072,0.6826124,0.2839934 | 0.6831032210190734,0.6706850919472839,0.2890527579405365
0.008870044966665802 | 0.14275032,0.8131766,0.57242614 | 0.13509526378410752,0.8117374414094215,0.5681827134973292
0.03128543432153869 | 0.071059525,0.3029537,0.9543194 | 0.04306100194723436,0.2891382877943943,0.9563183573698804
0.013804413291416634 | 0.4568545,0.47711426,0.75757927 | 0.4433203395971619,0.47555983670866236,0.7598091327491976
0.004490692012146852 | 0.096679986,0.7446885,0.6651245 | 0.098665243132163,0.7407017126526134,0.6645495787908953
0.006752013660772557 | 0.44381335,0.11991568,0.8926949 | 0.4377062728518554,0.12207721279940752,0.8907919918933181
0.006734858619383107 | 0.14275032,0.8131766,0.57242614 | 0.1382320165867301,0.8081825387464335,0.5724796010826372
0.008596794804501817 | 0.572448,0.28375337,0.77562684 | 0.5720204001551812,0.27575840075611696,0.7724959328169536
0.008255417876203175 | 0.3996641,0.78427833,0.48261806 | 0.404057984630957,0.7773004065560086,0.4822252824394767
0.01440752674874256 | 0.21789251,0.75071794,0.63173455 | 0.2046977483217178,0.7455183716062289,0.6342721729901252
0.014724913433849407 | 0.6985076,0.6163389,0.3738335 | 0.6882025462997673,0.615374068617519,0.3843071830445505
0.02175773976667613 | 0.87030095,0.4615036,0.17876706 | 0.8728196112086098,0.46204535834258165,0.15716237820714657
0.00483814715089092 | 0.2747503,0.7505155,0.60810035 | 0.27268626760289366,0.7462147055188453,0.607293843808931
0.012458841968838199 | 0.4024477,0.56640273,0.7278078 | 0.39032589588499034,0.5635356216434235,0.7280613285572445
0.014685104725207909 | 0.32329446,0.8581545,0.40558746 | 0.33577216898583057,0.8504340330479514,0.4049925998933149
